"","","lng","lat"
"165","southoxhey","-0.393126","51.631531"
"166","peterpan","-0.40239","53.738532"
"167","cassiobury","-0.415678","51.65874"
"168","lutonwardown","-0.417476","51.894516"
"169","hazelwood","-0.420635","51.407331"
"170","bedfont","-0.446792","51.441704"
"171","humberbridge","-0.456018","53.71812"
"172","bedford","-0.464129","52.147395"
"173","gadebridge","-0.47473","51.7613"
"174","rickmansworth","-0.4759097","51.6331291"
"175","cranleigh","-0.495715","51.137126"
"176","greatdenham","-0.509105","52.12158"
"177","houghtonhall","-0.510929","51.901642"
"178","homewood","-0.5386627","51.3656581"
"179","black-park","-0.547814","51.540213"
"180","woking","-0.555046","51.311382"
"181","lincoln","-0.557642","53.208603"
"182","guildford","-0.563736","51.246283"
"183","uptoncourt","-0.580645","51.498725"
"184","beltonhouse","-0.618784","52.941367"
"185","rutlandwater","-0.621414","52.645772"
"186","tring","-0.654931","51.784329"
"187","normanbyhall","-0.6598234","53.6382647"
"188","scunthorpe","-0.66287","53.580761"
"189","bognorregis","-0.668621","50.787693"
"190","rushmere","-0.67493","51.947466"
"191","dalbyforest","-0.686914","54.273842"
"192","corby","-0.691752","52.493024"
"193","kettering","-0.707867","52.381795"
"194","maidenhead","-0.712137","51.510933"
"195","wendoverwoods","-0.715715","51.770267"
"196","miltonkeynes","-0.72084","52.051384"
"197","frimleylodge","-0.722222","51.293324"
"198","wycomberye","-0.740418","51.623905"
"199","rushmoor","-0.760074","51.266131"
"200","linfordwood","-0.760414","52.0586"
"201","gainsborough","-0.770776","53.406272"
"202","bracknell","-0.777712","51.389941"
"203","chichester","-0.778512","50.843362"
"204","higginsonmarlow","-0.779557","51.56626"
"205","newark","-0.822129","53.067678"
"206","aylesbury","-0.826635","51.830474"
"207","aliceholt","-0.839499","51.168614"
"208","hogmoorinclosure","-0.875918","51.111669"
"209","meltonmowbray","-0.878238","52.778801"
"210","dintonpastures","-0.88004","51.440278"
"211","northampton","-0.888648","52.249113"
"212","goole","-0.890649","53.71052"
"213","woodley","-0.903239","51.455511"
"214","henleyonthames","-0.9193","51.532014"
"215","marketharborough","-0.926778","52.475213"
"216","reading","-0.933795","51.464007"
"217","sixfieldsupton","-0.942206","52.228535"
"218","queenelizabeth","-0.972805","50.955399"
"219","buckingham","-0.977526","51.997697"
"220","havant","-0.977762","50.877857"
"222","prospect","-1.007595","51.448542"
"223","heslington","-1.018006","53.949318"
"224","clumberpark","-1.058507","53.268396"
"225","southsea","-1.064644","50.781954"
"226","newearswick","-1.07776","53.990218"
"227","selby","-1.078377","53.751705"
"228","redcar","-1.079256","54.613964"
"229","basingstoke","-1.081047","51.2589"
"230","portsmouthlakeside","-1.081577","50.840416"
"231","sherwoodpines","-1.085311","53.166221"
"232","gedling","-1.087081","52.993979"
"233","doncaster","-1.0878","53.546051"
"234","colwick","-1.095285","52.948638"
"235","york","-1.097646","53.937117"
"237","leicestervictoria","-1.121877","52.623522"
"238","bicester","-1.146913","51.891047"
"239","rushcliffe","-1.149238","52.882818"
"240","flattslane","-1.1516525","54.5441465"
"241","daventry","-1.153135","52.266844"
"242","forestrec","-1.160088","52.965261"
"243","clifton","-1.162997","52.907145"
"244","fareham","-1.167426","50.848386"
"245","bestwoodvillage","-1.17117","53.022109"
"246","braunstone","-1.179818","52.625958"
"247","mansfield","-1.182082","53.175126"
"249","beeston","-1.194677","52.914337"
"251","stewart","-1.204634","54.539933"
"252","dishleyloughborough","-1.2349936","52.7878202"
"253","albert","-1.235018","54.564834"
"254","rugby","-1.238397","52.373143"
"255","didcot","-1.239956","51.617299"
"256","whiteley","-1.247762","50.885518"
"257","oxford","-1.259437","51.790515"
"258","abingdon","-1.269221","51.669202"
"259","newbury","-1.280959","51.377741"
"260","longeaton","-1.2851","52.895341"
"262","brierleyforest","-1.294734","53.130461"
"263","harcourthill","-1.296172","51.739361"
"265","cotsfordfields","-1.300721","54.759476"
"266","winchester","-1.309599","51.070277"
"267","rothervalley","-1.323423","53.338407"
"268","pontefract","-1.332393","53.701331"
"269","banbury","-1.332479","52.067715"
